Time Series Search Export,Search term,Search filters,,Last update of Bilateral exchange rates data,Downloaded at,Source,Source URL,Download URL,About Bilateral exchange rates
,,,,2024-07-11,2024-07-13 17:47 CEST,BIS,https:/data.bis.org/topics/XRU/data?filter=FREQ%3DQ%255ECOLLECTION%3DE%255EREF_AREA_TXT%3DEuro%2520area&selected_ts=BIS%2CWS_XRU%2C1.0%255EQ.XM.EUR.E,https:/data.bis.org/topics/XRU/data?filter=FREQ%3DQ%255ECOLLECTION%3DE%255EREF_AREA_TXT%3DEuro%2520area&selected_ts=BIS%2CWS_XRU%2C1.0%255EQ.XM.EUR.E&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/XRU

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,CURRENCY:Currency,COLLECTION:Collection,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,2000-12-31,F:Free,,A:Normal value,1.074691
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,2001-03-31,F:Free,,A:Normal value,1.132246
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,2001-06-30,F:Free,,A:Normal value,1.179245
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,2001-09-30,F:Free,,A:Normal value,1.09517
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,2001-12-31,F:Free,,A:Normal value,1.134687
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,2002-03-31,F:Free,,A:Normal value,1.146263
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,2002-06-30,F:Free,,A:Normal value,1.002506
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,2002-09-30,F:Free,,A:Normal value,1.014199
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,2002-12-31,F:Free,,A:Normal value,0.953562
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,2003-03-31,F:Free,,A:Normal value,0.917852
